k1,k2,k3,p,value
0.001,0.251,0.501,0.3194736842105263,0.8947417288503017
0.001,0.251,0.501,0.37105263157894736,0.8964419044792025
0.001,0.251,0.501,0.4226315789473684,0.9004905909336363
0.001,0.251,0.501,0.47421052631578947,0.9059715395142822
0.001,0.251,0.501,0.5257894736842105,0.9122113387799713
0.001,0.251,0.501,0.5773684210526315,0.9187774061496676
0.001,0.251,0.501,0.6289473684210526,0.9254837167900734
0.001,0.251,0.501,0.6805263157894736,0.9324018225825697
0.001,0.251,0.501,0.7321052631578947,0.9398825233085959
0.001,0.251,0.501,0.7836842105263158,0.9486066461592797
0.001,0.251,0.501,0.8352631578947368,0.9597132014175869
0.001,0.251,0.501,0.8868421052631579,0.9751480559585723
0.001,0.251,0.501,0.9384210526315789,0.9988198239462305
0.001,0.251,0.501,0.99,1.0438213752819512
0.001,0.251,0.626,0.01,1.0264755828654928
0.001,0.251,0.626,0.06157894736842105,0.9740935254476266
0.001,0.251,0.626,0.11315789473684211,0.9388889957942084
0.001,0.251,0.626,0.16473684210526315,0.916206559099721
0.001,0.251,0.626,0.2163157894736842,0.9027599809067035
0.001,0.251,0.626,0.26789473684210524,0.8961238580887292
0.001,0.251,0.626,0.3194736842105263,0.8944376126004432
0.001,0.251,0.626,0.37105263157894736,0.8962352794374988
0.001,0.251,0.626,0.4226315789473684,0.900352576905072
0.001,0.251,0.626,0.47421052631578947,0.9058818581317563
0.001,0.251,0.626,0.5257894736842105,0.9121556168993039
0.001,0.251,0.626,0.5773684210526315,0.9187454047517791
0.001,0.251,0.626,0.6289473684210526,0.9254681388747041
0.001,0.251,0.626,0.6805263157894736,0.932397489833825
0.001,0.251,0.626,0.7321052631578947,0.9398857928542315
0.001,0.251,0.626,0.7836842105263158,0.9486149882488086
0.001,0.251,0.626,0.8352631578947368,0.9597248889194003
0.001,0.251,0.626,0.8868421052631579,0.9751619346597247
0.001,0.251,0.626,0.9384210526315789,0.9988351435323102
0.001,0.251,0.626,0.99,1.0438376692197244
0.001,0.251,0.751,0.01,1.0236812321143893
