k1,k2,k3,p,r,value
0.01,0.08,0.01,0.22,0.639344262295082,0.3502588661946133
0.01,0.08,0.01,0.29,0.5503875968992248,0.40135924985051274
0.01,0.08,0.01,0.36,0.4705882352941177,0.44779828168907776
0.01,0.08,0.01,0.43,0.39860139860139865,0.48835257065038196
0.01,0.08,0.01,0.5,0.3333333333333333,0.5221042067159414
0.01,0.08,0.01,0.57,0.2738853503184714,0.5483862447436008
0.01,0.08,0.01,0.64,0.2195121951219512,0.5667150322456798
0.01,0.08,0.01,0.71,0.16959064327485382,0.5767020884028806
0.01,0.08,0.01,0.78,0.12359550561797751,0.577920327930312
0.01,0.08,0.01,0.85,0.08108108108108109,0.5696408077380255
0.01,0.08,0.01,0.92,0.04166666666666665,0.5500703969972791
0.01,0.08,0.01,0.99,0.005025125628140708,0.5112919843198915
0.01,0.08,0.08,0.01,0.9801980198019802,0.18821786585948108
0.01,0.08,0.08,0.08,0.8518518518518519,0.24226679316161837
0.01,0.08,0.08,0.15,0.7391304347826088,0.29736994686513674
0.01,0.08,0.08,0.22,0.639344262295082,0.3513009014050217
0.01,0.08,0.08,0.29,0.5503875968992248,0.40215793209864215
0.01,0.08,0.08,0.36,0.4705882352941177,0.4483881114102073
0.01,0.08,0.08,0.43,0.39860139860139865,0.4887734163278672
0.01,0.08,0.08,0.5,0.3333333333333333,0.5223945162834007
0.01,0.08,0.08,0.57,0.2738853503184714,0.5485795368987141
0.01,0.08,0.08,0.64,0.2195121951219512,0.5668386363031992
0.01,0.08,0.08,0.71,0.16959064327485382,0.5767772199240455
0.01,0.08,0.08,0.78,0.12359550561797751,0.5779628328663562
0.01,0.08,0.08,0.85,0.08108108108108109,0.5696621483562776
0.01,0.08,0.08,0.92,0.04166666666666665,0.5500786413735816
0.01,0.08,0.08,0.99,0.005025125628140708,0.5112927058680035
0.01,0.08,0.15,0.01,0.9801980198019802,0.18942297452729406
0.01,0.08,0.15,0.08,0.8518518518518519,0.24325418423691925
0.01,0.08,0.15,0.15,0.7391304347826088,0.2981384273374166
0.01,0.08,0.15,0.22,0.639344262295082,0.3518738137580977
